MODEL,REACH,MARKETING_NAME,VENDOR,PRICE_RELEASED,YEAR_RELEASED,MONTH_RELEASED,TIME_RELEASED,DIAGONAL_SCREEN_SIZE,CAMERA_PIXELS,DISPLAY_HEIGHT,DISPLAY_WIDTH,AGE,Cluster_km7,Cluster_km8,Cluster_km10,Cluster_km12,Cluster_hclust7,Cluster_hclust8,Cluster_hclust10,Cluster_hclust12,ClusterScrCam_km7,ClusterScrCam_km8,ClusterScrCam_km10,ClusterScrCam_km12,ClusterScrCam_hclust7,ClusterScrCam_hclust8,ClusterScrCam_hclust10,ClusterScrCam_hclust12,ClusterScr_km7,ClusterScr_km8,ClusterScr_km10,ClusterScr_km12,ClusterScr_hclust7,ClusterScr_hclust8,ClusterScr_hclust10,ClusterScr_hclust12
Y28,236893,y28,vivo,100.0,2015.0,12.0,2016.0,4.7,8.0,960.0,540.0,1.1666666666667425,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
SM-G355M,232348,galaxy core 2 duos,samsung,130.0,2014.0,7.0,2014.583333333333,4.5,5.0,800.0,480.0,2.5833333333337123,1,1,0,11,2,2,2,2,2,5,0,5,1,1,1,0,6,5,5,9,2,2,2,0
SM-T116NU,229046,galaxy tab 3 v,samsung,370.0,2015.0,,2015.5,7.0,2.0,600.0,1024.0,1.6666666666667425,0,0,5,5,6,6,6,6,0,6,9,0,2,2,2,5,2,3,7,10,1,0,0,10
Y31L,228362,y31l,vivo,130.0,2015.0,10.0,2015.833333333333,4.7,8.0,960.0,540.0,1.3333333333337123,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
V3 Max,226566,v3 max,vivo,300.0,2016.0,4.0,2016.333333333333,5.5,13.0,1920.0,1080.0,0.8333333333337123,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
GT-I9300T,226202,galaxy s3,samsung,300.0,2012.0,4.0,2012.333333333333,4.8,8.0,1280.0,720.0,4.833333333333712,4,5,8,9,0,1,3,1,4,0,8,9,5,5,0,2,5,2,1,6,5,5,5,2
D820,223154,nexus 5,google,270.0,2013.0,10.0,2013.833333333333,5.0,8.0,1920.0,1080.0,3.3333333333337123,0,0,4,7,0,1,9,9,4,0,8,6,5,5,0,2,5,2,4,1,3,1,4,1
Blade A110,214873,blade a110,zte,80.0,2016.0,2.0,2016.166666666667,5.0,8.0,1280.0,720.0,0.9999999999997726,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
R831K,212042,neo 3,oppo,130.0,2014.0,8.0,2014.666666666667,4.5,5.0,854.0,480.0,2.4999999999997726,1,1,0,11,2,2,2,2,2,5,0,5,1,1,1,0,6,5,5,9,2,2,2,0
SM-J105B,206558,galaxy j1 mini (2016),samsung,90.0,2016.0,2.0,2016.166666666667,4.3,5.0,800.0,480.0,0.9999999999997726,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
