"MODEL","MARKETING_NAME","VENDOR","DISPLAY_HEIGHT","DISPLAY_WIDTH","CAMERA_PIXELS","YEAR_RELEASED","DIAGONAL_SCREEN_SIZE","REACH"
"mingalaba 2","mingalaba 2","nex","854","480","5","2014","4",77
"ls990","g3","sprint","2560","1440","16","2014","5.5",77
"numy ax1","novo 7","ainol","600","1240","2","2013","7",77
"f9192","f9192","star","854","480","3","2013","4.3",77
"203sh","aquos phone xx","softbank","1280","720","16.03","2013","4.9",77
"h420","spirit","lg","1280","720","8","2015","4.7",77
"sm-g550fy","galaxy on5","samsung","1280","720","8","2015","5",77
"d6616","xperia z3","sony","1920","1080","21","2014","5.2",77
"che2-tl00m","honor 4x","huawei","1280","720","13","2014","5.5",77
"lgv31","isai vl","kddi","2560","1440","13","2014","5.5",77
"cx-919","mini pc tv box","tronsmart","720","1280","NULL","2013","NULL",76
"yq601","u1","smartisan","1920","1080","13","2015","5.5",76
"sm-g550t1","galaxy on5 lte","samsung","1280","720","8","2016","5",76
"at10pe-a","excite","toshiba","1600","2560","8","2013","10.1",76
"vi10","vi10","chuwi","768","1366","2","2015","10.6",76
"sm-n910t3","galaxy note 4","t-mobile","2560","1440","16","2014","5.7",76
"x920e","butterfly","htc","1920","1080","8","2012","5",75
"y535d-c00","y535d","huawei","800","480","2","2014","4.5",75
"hs-u980","mira ii","hisense","1280","720","8","2013","5.5",75
"sapphire a55","sapphire a55","singtech","480","800","2","2015","4",75
"xm50h","xperia t2 ultra dual","sony","1280","720","13","2014","6",75
"informer 706 3g","informer 706 3g","explay","480","800","2","2012","7",75
"mt15i","xperia neo","sony ericsson","854","480","8","2011","3.7",75
"h60-l12","honor 6","huawei","1920","1080","13","2014","5",75
"sc-01d","galaxy tab 10.1 lte","docomo","800","1280","3.2","2011","10.1",75
"gt-s5301","galaxy pocket plus","samsung","320","240","2","2012","2.8",75
"ta07c-c41r1","slatepad","onkyo","600","1024","2","2013","7",75
"sh-04h","aquos zeta","docomo","1920","1080","22.6","2015","5.3",75
"tit-u02","y6 pro","huawei","1280","720","13","2016","5",74
"e425f","optimus l3 ii","lg","320","240","3","2013","3.2",74
"a1-840","iconia tab 8","acer","1200","1920","5","2014","8",74
"m530","m530","infocus","1280","720","13","2014","5.5",74
"xt1030","droid mini 4g lte","motorola","1280","720","10","2013","4.29",74
